lemma	form	tags	attested_count	pron_exact	ortho_exact	onomastic	case_evidence
mold	molded	V;PST/V;V.PTCP;PST	20	yes	yes	no	common (0/47 medial-cap, 1 initial)
revolution	revolutions	N;PL/V;PRS;3;SG	11	yes	yes	no	common (143/326 medial-cap, 4 initial)
encamp	encamped	V;PST/V;V.PTCP;PST	38	yes	yes	no	common (1/17 medial-cap, 0 initial)
concentration	concentrations	N;PL/V;PRS;3;SG	10	yes	yes	no	common (0/98 medial-cap, 0 initial)
transport	transporting	V;V.PTCP;PRS	10	yes	yes	no	common (58/230 medial-cap, 5 initial)
satisfaction	satisfactions	N;PL/V;PRS;3;SG	5	yes	yes	no	common (2/1024 medial-cap, 1 initial)
remember	remembering	V;V.PTCP;PRS	43	yes	yes	no	common (53/2789 medial-cap, 220 initial)
horror	horrors	N;PL/V;PRS;3;SG	30	yes	yes	no	common (4/590 medial-cap, 5 initial)
endeavor	endeavors	N;PL/V;PRS;3;SG	14	yes	yes	no	common (1/51 medial-cap, 2 initial)
expect	expects	N;PL/V;PRS;3;SG	665	yes	yes	no	common (16/1490 medial-cap, 3 initial)
gardener	gardeners	N;PL/V;PRS;3;SG	14	yes	yes	no	common (9/192 medial-cap, 0 initial)
tipp	tipped	V;PST/V;V.PTCP;PST	18	yes	yes	no	proper (4/4 medial-cap, 0 initial)
contest	contests	N;PL/V;PRS;3;SG	15	yes	yes	no	common (2/137 medial-cap, 0 initial)
insight	insights	N;PL/V;PRS;3;SG	16	yes	yes	no	common (0/73 medial-cap, 0 initial)
deduct	deducted	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (0/16 medial-cap, 0 initial)
mechanism	mechanisms	N;PL/V;PRS;3;SG	29	yes	yes	no	common (0/76 medial-cap, 0 initial)
atla	atlas	N;PL/V;PRS;3;SG	36	yes	yes	no	no-census
transport	transports	N;PL/V;PRS;3;SG	12	yes	yes	no	common (58/230 medial-cap, 5 initial)
disgust	disgusting	V;V.PTCP;PRS	27	yes	yes	no	common (0/196 medial-cap, 0 initial)
magician	magicians	N;PL/V;PRS;3;SG	17	yes	yes	no	common (0/28 medial-cap, 0 initial)
threaten	threatened	V;PST/V;V.PTCP;PST	157	yes	yes	no	common (2/104 medial-cap, 0 initial)
covet	coveted	V;PST/V;V.PTCP;PST	7	yes	yes	no	common (0/27 medial-cap, 0 initial)
retail	retailing	V;V.PTCP;PRS	25	yes	yes	no	common (43/205 medial-cap, 11 initial)
collin	collins	N;PL/V;PRS;3;SG	18	yes	yes	no	no-census
winn	winning	V;V.PTCP;PRS	61	yes	yes	no	proper (1/1 medial-cap, 2 initial)
commission	commissions	N;PL/V;PRS;3;SG	29	yes	yes	no	proper (734/1086 medial-cap, 6 initial)
aid	aids	N;PL/V;PRS;3;SG	109	yes	yes	no	common (43/755 medial-cap, 7 initial)
failure	failures	N;PL/V;PRS;3;SG	25	yes	yes	no	common (7/414 medial-cap, 6 initial)
steak	steaks	N;PL/V;PRS;3;SG	8	yes	yes	no	common (6/96 medial-cap, 1 initial)
closure	closures	N;PL/V;PRS;3;SG	16	yes	yes	no	common (5/43 medial-cap, 1 initial)
shipp	shipped	V;PST/V;V.PTCP;PST	83	yes	yes	no	common (0/1 medial-cap, 0 initial)
exult	exulting	V;V.PTCP;PRS	10	yes	yes	no	common (1/11 medial-cap, 1 initial)
will	willed	V;PST/V;V.PTCP;PST	10	yes	yes	no	common (996/38861 medial-cap, 816 initial)
ascend	ascended	V;PST/V;V.PTCP;PST	40	yes	yes	no	common (4/103 medial-cap, 1 initial)
apprehend	apprehended	V;PST/V;V.PTCP;PST	11	yes	yes	no	common (0/69 medial-cap, 0 initial)
shedd	shedding	V;V.PTCP;PRS	11	yes	yes	no	no-census
puff	puffs	N;PL/V;PRS;3;SG	9	yes	yes	no	common (6/68 medial-cap, 3 initial)
brimm	brimmed	V;PST/V;V.PTCP;PST	9	yes	yes	no	no-census
legg	legged	V;PST/V;V.PTCP;PST	20	yes	yes	no	dual (0/0 medial-cap, 1 initial)
belgian	belgians	N;PL/V;PRS;3;SG	23	yes	yes	no	proper (95/95 medial-cap, 20 initial)
leper	lepers	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/26 medial-cap, 0 initial)
drumm	drumming	V;V.PTCP;PRS	8	yes	yes	no	no-census
departure	departures	N;PL/V;PRS;3;SG	8	yes	yes	no	common (9/740 medial-cap, 0 initial)
attain	attained	V;PST/V;V.PTCP;PST	34	yes	yes	no	common (0/143 medial-cap, 0 initial)
pinn	pinned	V;PST/V;V.PTCP;PST	9	yes	yes	no	no-census
petal	petals	N;PL/V;PRS;3;SG	7	yes	yes	no	common (0/4 medial-cap, 0 initial)
precinct	precincts	N;PL/V;PRS;3;SG	7	yes	yes	no	common (3/11 medial-cap, 0 initial)
conceal	concealed	V;PST/V;V.PTCP;PST	45	yes	yes	no	common (0/462 medial-cap, 1 initial)
brood	brooding	V;V.PTCP;PRS	27	yes	yes	no	common (2/76 medial-cap, 0 initial)
addition	additions	N;PL/V;PRS;3;SG	33	yes	yes	no	common (5/624 medial-cap, 1 initial)
bobb	bobbing	V;V.PTCP;PRS	7	yes	yes	no	no-census
forum	forums	N;PL/V;PRS;3;SG	8	yes	yes	no	common (10/36 medial-cap, 1 initial)
african	africans	N;PL/V;PRS;3;SG	7	yes	yes	no	proper (208/208 medial-cap, 2 initial)
shift	shifts	N;PL/V;PRS;3;SG	41	yes	yes	no	common (2/157 medial-cap, 1 initial)
distortion	distortions	N;PL/V;PRS;3;SG	17	yes	yes	no	common (0/25 medial-cap, 0 initial)
hang	hanged	V;PST/V;V.PTCP;PST	48	yes	yes	no	common (22/340 medial-cap, 36 initial)
intend	intending	V;V.PTCP;PRS	15	yes	yes	no	common (7/361 medial-cap, 0 initial)
center	centered	V;PST/V;V.PTCP;PST	28	yes	yes	no	common (69/368 medial-cap, 1 initial)
upward	upwards	N;PL/V;PRS;3;SG	59	yes	yes	no	common (7/295 medial-cap, 1 initial)
thousand	thousands	N;PL/V;PRS;3;SG	242	yes	yes	no	common (10/2969 medial-cap, 1 initial)
orchestra	orchestras	N;PL/V;PRS;3;SG	5	yes	yes	no	common (20/113 medial-cap, 1 initial)
suggest	suggested	V;PST/V;V.PTCP;PST	216	yes	yes	no	common (4/307 medial-cap, 1 initial)
obtain	obtaining	V;V.PTCP;PRS	43	yes	yes	no	common (2/411 medial-cap, 0 initial)
ornament	ornaments	N;PL/V;PRS;3;SG	29	yes	yes	no	common (1/127 medial-cap, 1 initial)
moslem	moslems	N;PL/V;PRS;3;SG	5	yes	yes	no	proper (7/7 medial-cap, 0 initial)
pillow	pillows	N;PL/V;PRS;3;SG	9	yes	yes	no	common (0/353 medial-cap, 0 initial)
flavor	flavored	V;PST/V;V.PTCP;PST	5	yes	yes	no	common (0/54 medial-cap, 0 initial)
shekel	shekels	N;PL/V;PRS;3;SG	99	yes	yes	no	common (0/44 medial-cap, 0 initial)
form	formed	V;PST/V;V.PTCP;PST	343	yes	yes	no	common (37/2099 medial-cap, 5 initial)
wagg	wagging	V;V.PTCP;PRS	6	yes	yes	no	proper (10/10 medial-cap, 2 initial)
reiner	reiners	N;PL/V;PRS;3;SG	5	yes	yes	no	no-census
command	commands	N;PL/V;PRS;3;SG	50	yes	yes	no	common (29/940 medial-cap, 4 initial)
unveil	unveils	N;PL/V;PRS;3;SG	5	yes	yes	no	common (2/7 medial-cap, 0 initial)
davie	davies	N;PL/V;PRS;3;SG	5	yes	yes	no	no-census
arrest	arrested	V;PST/V;V.PTCP;PST	51	yes	yes	no	common (1/178 medial-cap, 1 initial)
commission	commissioned	V;PST/V;V.PTCP;PST	13	yes	yes	no	proper (734/1086 medial-cap, 6 initial)
orbit	orbits	N;PL/V;PRS;3;SG	10	yes	yes	no	common (2/29 medial-cap, 3 initial)
border	borders	N;PL/V;PRS;3;SG	101	yes	yes	no	common (10/261 medial-cap, 0 initial)
frett	fretting	V;V.PTCP;PRS	7	yes	yes	no	no-census
flight	flights	N;PL/V;PRS;3;SG	39	yes	yes	no	common (16/510 medial-cap, 3 initial)
differ	differed	V;PST/V;V.PTCP;PST	23	yes	yes	no	common (0/90 medial-cap, 0 initial)
cover	covers	N;PL/V;PRS;3;SG	72	yes	yes	no	common (9/627 medial-cap, 8 initial)
accountant	accountants	N;PL/V;PRS;3;SG	12	yes	yes	no	common (5/29 medial-cap, 0 initial)
adjust	adjusting	V;V.PTCP;PRS	36	yes	yes	no	common (1/68 medial-cap, 0 initial)
grigg	griggs	N;PL/V;PRS;3;SG	7	yes	yes	no	proper (1/1 medial-cap, 1 initial)
wander	wandered	V;PST/V;V.PTCP;PST	34	yes	yes	no	common (2/133 medial-cap, 2 initial)
sector	sectors	N;PL/V;PRS;3;SG	106	yes	yes	no	common (10/377 medial-cap, 0 initial)
becalm	becalmed	V;PST/V;V.PTCP;PST	5	yes	yes	no	no-census
ill	ills	N;PL/V;PRS;3;SG	14	yes	yes	no	common (68/2655 medial-cap, 31 initial)
track	tracked	V;PST/V;V.PTCP;PST	8	yes	yes	no	common (6/302 medial-cap, 0 initial)
israelite	israelites	N;PL/V;PRS;3;SG	29	yes	yes	no	proper (6/6 medial-cap, 0 initial)
stearn	stearns	N;PL/V;PRS;3;SG	33	yes	yes	no	proper (3/3 medial-cap, 0 initial)
lamb	lambs	N;PL/V;PRS;3;SG	101	yes	yes	no	common (59/307 medial-cap, 0 initial)
afterward	afterwards	N;PL/V;PRS;3;SG	261	yes	yes	no	common (2/101 medial-cap, 10 initial)
christian	christians	N;PL/V;PRS;3;SG	60	yes	yes	no	proper (866/872 medial-cap, 18 initial)
hugg	hugging	V;V.PTCP;PRS	10	yes	yes	no	common (0/1 medial-cap, 0 initial)
rigg	rigged	V;PST/V;V.PTCP;PST	10	yes	yes	no	proper (37/37 medial-cap, 1 initial)
gilt	gilts	N;PL/V;PRS;3;SG	11	yes	yes	no	common (3/102 medial-cap, 0 initial)
aberration	aberrations	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/35 medial-cap, 0 initial)
defend	defending	V;V.PTCP;PRS	41	yes	yes	no	common (6/318 medial-cap, 5 initial)
pair	paired	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (5/866 medial-cap, 0 initial)
inject	injecting	V;V.PTCP;PRS	11	yes	yes	no	common (0/19 medial-cap, 1 initial)
trimm	trimming	V;V.PTCP;PRS	10	yes	yes	no	common (0/1 medial-cap, 0 initial)
toil	toils	N;PL/V;PRS;3;SG	8	yes	yes	no	common (1/176 medial-cap, 4 initial)
deliver	delivered	V;PST/V;V.PTCP;PST	419	yes	yes	no	common (8/547 medial-cap, 21 initial)
procedure	procedures	N;PL/V;PRS;3;SG	104	yes	yes	no	common (2/134 medial-cap, 2 initial)
knock	knocks	N;PL/V;PRS;3;SG	10	yes	yes	no	common (16/470 medial-cap, 16 initial)
arrival	arrivals	N;PL/V;PRS;3;SG	19	yes	yes	no	common (12/874 medial-cap, 1 initial)
intersect	intersected	V;PST/V;V.PTCP;PST	7	yes	yes	no	common (0/8 medial-cap, 0 initial)
fashion	fashions	N;PL/V;PRS;3;SG	17	yes	yes	no	common (24/864 medial-cap, 6 initial)
scour	scours	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/10 medial-cap, 0 initial)
enjoin	enjoined	V;PST/V;V.PTCP;PST	14	yes	yes	no	common (0/23 medial-cap, 0 initial)
protein	proteins	N;PL/V;PRS;3;SG	23	yes	yes	no	common (5/53 medial-cap, 1 initial)
expend	expended	V;PST/V;V.PTCP;PST	17	yes	yes	no	common (0/22 medial-cap, 0 initial)
seem	seeming	V;V.PTCP;PRS	73	yes	yes	no	common (4/2034 medial-cap, 1 initial)
shatter	shattering	V;V.PTCP;PRS	19	yes	yes	no	common (0/11 medial-cap, 0 initial)
spurr	spurred	V;PST/V;V.PTCP;PST	20	yes	yes	no	common (0/1 medial-cap, 0 initial)
virtue	virtues	N;PL/V;PRS;3;SG	42	yes	yes	no	common (26/706 medial-cap, 3 initial)
can	cans	N;PL/V;PRS;3;SG	10	yes	yes	no	common (301/19227 medial-cap, 681 initial)
misfortune	misfortunes	N;PL/V;PRS;3;SG	7	yes	yes	no	common (9/532 medial-cap, 5 initial)
abomination	abominations	N;PL/V;PRS;3;SG	77	yes	yes	no	common (0/94 medial-cap, 0 initial)
disarm	disarming	V;V.PTCP;PRS	6	yes	yes	no	common (0/12 medial-cap, 0 initial)
grasse	grasses	N;PL/V;PRS;3;SG	9	yes	yes	no	proper (4/6 medial-cap, 0 initial)
franc	francs	N;PL/V;PRS;3;SG	425	yes	yes	no	common (14/136 medial-cap, 0 initial)
shot	shots	N;PL/V;PRS;3;SG	45	yes	yes	no	common (12/767 medial-cap, 6 initial)
nigger	niggers	N;PL/V;PRS;3;SG	8	yes	yes	no	common (6/30 medial-cap, 2 initial)
restrain	restraining	V;V.PTCP;PRS	27	yes	yes	no	common (1/227 medial-cap, 3 initial)
contradiction	contradictions	N;PL/V;PRS;3;SG	9	yes	yes	no	common (0/116 medial-cap, 0 initial)
perform	performed	V;PST/V;V.PTCP;PST	102	yes	yes	no	common (1/274 medial-cap, 2 initial)
paint	painting	V;V.PTCP;PRS	89	yes	yes	no	common (8/249 medial-cap, 5 initial)
coconut	coconuts	N;PL/V;PRS;3;SG	9	yes	yes	no	common (22/63 medial-cap, 4 initial)
topp	topped	V;PST/V;V.PTCP;PST	31	yes	yes	no	no-census
obey	obeying	V;V.PTCP;PRS	16	yes	yes	no	common (6/370 medial-cap, 5 initial)
prevent	preventing	V;V.PTCP;PRS	51	yes	yes	no	common (4/889 medial-cap, 0 initial)
hurri	hurried	V;PST/V;V.PTCP;PST	107	yes	yes	no	no-census
supposition	suppositions	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/105 medial-cap, 0 initial)
picken	pickens	N;PL/V;PRS;3;SG	23	yes	yes	no	no-census
matter	matters	N;PL/V;PRS;3;SG	223	yes	yes	no	common (30/4812 medial-cap, 9 initial)
perform	performs	N;PL/V;PRS;3;SG	12	yes	yes	no	common (1/274 medial-cap, 2 initial)
sober	sobered	V;PST/V;V.PTCP;PST	7	yes	yes	no	common (4/221 medial-cap, 0 initial)
surrender	surrendered	V;PST/V;V.PTCP;PST	11	yes	yes	no	common (1/104 medial-cap, 3 initial)
holding	holdings	N;PL/V;PRS;3;SG	341	yes	yes	no	common (83/1556 medial-cap, 25 initial)
obstruct	obstructed	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (1/13 medial-cap, 0 initial)
acquaint	acquainted	V;PST/V;V.PTCP;PST	124	yes	yes	no	common (3/64 medial-cap, 1 initial)
ten	tens	N;PL/V;PRS;3;SG	21	yes	yes	no	common (55/2412 medial-cap, 94 initial)
inject	injected	V;PST/V;V.PTCP;PST	15	yes	yes	no	common (0/19 medial-cap, 1 initial)
alteration	alterations	N;PL/V;PRS;3;SG	12	yes	yes	no	common (0/128 medial-cap, 0 initial)
camp	camps	N;PL/V;PRS;3;SG	61	yes	yes	no	common (15/452 medial-cap, 1 initial)
blood	blooded	V;PST/V;V.PTCP;PST	15	yes	yes	no	common (51/2274 medial-cap, 31 initial)
transcend	transcends	N;PL/V;PRS;3;SG	7	yes	yes	no	common (1/6 medial-cap, 0 initial)
disagreement	disagreements	N;PL/V;PRS;3;SG	9	yes	yes	no	common (0/43 medial-cap, 1 initial)
engulf	engulfed	V;PST/V;V.PTCP;PST	11	yes	yes	no	common (0/4 medial-cap, 0 initial)
prison	prisons	N;PL/V;PRS;3;SG	11	yes	yes	no	common (31/838 medial-cap, 4 initial)
fibre	fibres	N;PL/V;PRS;3;SG	14	yes	yes	no	common (2/29 medial-cap, 0 initial)
helper	helpers	N;PL/V;PRS;3;SG	10	yes	yes	no	common (2/30 medial-cap, 0 initial)
free	freeing	V;V.PTCP;PRS	9	yes	yes	no	common (127/2240 medial-cap, 18 initial)
draft	drafts	N;PL/V;PRS;3;SG	7	yes	yes	no	common (10/100 medial-cap, 0 initial)
lighten	lightened	V;PST/V;V.PTCP;PST	15	yes	yes	no	common (0/45 medial-cap, 0 initial)
act	acting	V;V.PTCP;PRS	160	yes	yes	no	common (223/1757 medial-cap, 7 initial)
correspond	corresponds	N;PL/V;PRS;3;SG	9	yes	yes	no	common (0/76 medial-cap, 0 initial)
err	erring	V;V.PTCP;PRS	5	yes	yes	no	common (2/57 medial-cap, 1 initial)
corrupt	corrupting	V;V.PTCP;PRS	6	yes	yes	no	common (5/110 medial-cap, 2 initial)
interpretation	interpretations	N;PL/V;PRS;3;SG	14	yes	yes	no	common (3/165 medial-cap, 1 initial)
suck	sucking	V;V.PTCP;PRS	30	yes	yes	no	common (1/53 medial-cap, 0 initial)
prosper	prospered	V;PST/V;V.PTCP;PST	19	yes	yes	no	common (0/85 medial-cap, 0 initial)
cropp	cropped	V;PST/V;V.PTCP;PST	15	yes	yes	no	no-census
translation	translations	N;PL/V;PRS;3;SG	7	yes	yes	no	common (1/74 medial-cap, 1 initial)
disappointment	disappointments	N;PL/V;PRS;3;SG	15	yes	yes	no	common (2/371 medial-cap, 4 initial)
plastic	plastics	N;PL/V;PRS;3;SG	75	yes	yes	no	common (4/49 medial-cap, 2 initial)
foam	foams	N;PL/V;PRS;3;SG	23	yes	yes	no	common (4/156 medial-cap, 0 initial)
demand	demands	N;PL/V;PRS;3;SG	194	yes	yes	no	common (46/1156 medial-cap, 12 initial)
attention	attentions	N;PL/V;PRS;3;SG	49	yes	yes	no	common (4/2003 medial-cap, 8 initial)
examination	examinations	N;PL/V;PRS;3;SG	9	yes	yes	no	common (2/272 medial-cap, 2 initial)
admission	admissions	N;PL/V;PRS;3;SG	8	yes	yes	no	common (0/169 medial-cap, 0 initial)
align	aligned	V;PST/V;V.PTCP;PST	15	yes	yes	no	common (0/3 medial-cap, 0 initial)
disappear	disappeared	V;PST/V;V.PTCP;PST	103	yes	yes	no	common (0/120 medial-cap, 0 initial)
understanding	understandings	N;PL/V;PRS;3;SG	13	yes	yes	no	common (11/1009 medial-cap, 7 initial)
rediscover	rediscovered	V;PST/V;V.PTCP;PST	5	yes	yes	no	common (0/1 medial-cap, 0 initial)
trust	trusted	V;PST/V;V.PTCP;PST	84	yes	yes	no	common (250/1570 medial-cap, 30 initial)
portrait	portraits	N;PL/V;PRS;3;SG	17	yes	yes	no	common (14/386 medial-cap, 2 initial)
sweetener	sweeteners	N;PL/V;PRS;3;SG	6	yes	yes	no	common (1/20 medial-cap, 0 initial)
prohibit	prohibiting	V;V.PTCP;PRS	12	yes	yes	no	common (0/13 medial-cap, 0 initial)
dulle	dulles	N;PL/V;PRS;3;SG	10	yes	yes	no	no-census
development	developments	N;PL/V;PRS;3;SG	144	yes	yes	no	common (211/937 medial-cap, 6 initial)
hopp	hopped	V;PST/V;V.PTCP;PST	15	yes	yes	no	no-census
endeavor	endeavored	V;PST/V;V.PTCP;PST	5	yes	yes	no	common (1/51 medial-cap, 2 initial)
anticipation	anticipations	N;PL/V;PRS;3;SG	5	yes	yes	no	common (0/133 medial-cap, 1 initial)
find	finding	V;V.PTCP;PRS	216	yes	yes	no	common (33/5466 medial-cap, 34 initial)
reverie	reveries	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/154 medial-cap, 2 initial)
impact	impacted	V;PST/V;V.PTCP;PST	5	yes	yes	no	common (6/321 medial-cap, 1 initial)
luca	lucas	N;PL/V;PRS;3;SG	14	yes	yes	no	no-census
medium	mediums	N;PL/V;PRS;3;SG	6	yes	yes	no	common (4/269 medial-cap, 3 initial)
tutor	tutors	N;PL/V;PRS;3;SG	5	yes	yes	no	common (3/96 medial-cap, 0 initial)
ginn	ginning	V;V.PTCP;PRS	5	yes	yes	no	proper (2/3 medial-cap, 0 initial)
headquarter	headquarters	N;PL/V;PRS;3;SG	109	yes	yes	no	common (0/2 medial-cap, 0 initial)
intermagnetic	intermagnetics	N;PL/V;PRS;3;SG	5	yes	yes	no	no-census
indication	indications	N;PL/V;PRS;3;SG	54	yes	yes	no	common (0/123 medial-cap, 1 initial)
dominion	dominions	N;PL/V;PRS;3;SG	8	yes	yes	no	common (45/155 medial-cap, 11 initial)
copyright	copyrights	N;PL/V;PRS;3;SG	7	yes	yes	no	common (2/14 medial-cap, 1 initial)
arie	aries	N;PL/V;PRS;3;SG	5	yes	yes	no	proper (1/1 medial-cap, 0 initial)
valu	valued	V;PST/V;V.PTCP;PST	170	yes	yes	no	proper (2/2 medial-cap, 0 initial)
film	films	N;PL/V;PRS;3;SG	40	yes	yes	no	common (8/139 medial-cap, 0 initial)
quotation	quotations	N;PL/V;PRS;3;SG	8	yes	yes	no	common (1/43 medial-cap, 0 initial)
world	worlds	N;PL/V;PRS;3;SG	54	yes	yes	no	common (536/8063 medial-cap, 54 initial)
fulfill	fulfilled	V;PST/V;V.PTCP;PST	120	yes	yes	no	common (1/56 medial-cap, 0 initial)
poetic	poetics	N;PL/V;PRS;3;SG	8	yes	yes	no	common (0/87 medial-cap, 2 initial)
utter	uttering	V;V.PTCP;PRS	14	yes	yes	no	common (4/529 medial-cap, 1 initial)
persist	persisted	V;PST/V;V.PTCP;PST	28	yes	yes	no	common (2/93 medial-cap, 0 initial)
painting	paintings	N;PL/V;PRS;3;SG	44	yes	yes	no	common (0/222 medial-cap, 4 initial)
torie	tories	N;PL/V;PRS;3;SG	6	yes	yes	no	no-census
person	persons	N;PL/V;PRS;3;SG	308	yes	yes	no	common (31/3833 medial-cap, 3 initial)
violation	violations	N;PL/V;PRS;3;SG	38	yes	yes	no	common (0/47 medial-cap, 0 initial)
congratulation	congratulations	N;PL/V;PRS;3;SG	22	yes	yes	no	common (0/33 medial-cap, 0 initial)
disdain	disdained	V;PST/V;V.PTCP;PST	12	yes	yes	no	common (3/137 medial-cap, 5 initial)
emotion	emotions	N;PL/V;PRS;3;SG	63	yes	yes	no	common (2/636 medial-cap, 1 initial)
scowl	scowling	V;V.PTCP;PRS	5	yes	yes	no	common (2/46 medial-cap, 0 initial)
array	arrayed	V;PST/V;V.PTCP;PST	16	yes	yes	no	common (0/112 medial-cap, 0 initial)
linger	lingered	V;PST/V;V.PTCP;PST	12	yes	yes	no	common (0/65 medial-cap, 0 initial)
depredation	depredations	N;PL/V;PRS;3;SG	5	yes	yes	no	no-census
inspection	inspections	N;PL/V;PRS;3;SG	27	yes	yes	no	common (11/170 medial-cap, 0 initial)
coat	coats	N;PL/V;PRS;3;SG	46	yes	yes	no	common (10/1568 medial-cap, 0 initial)
interest	interesting	V;V.PTCP;PRS	236	yes	yes	no	common (133/3860 medial-cap, 32 initial)
subtract	subtracted	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (0/7 medial-cap, 0 initial)
generation	generations	N;PL/V;PRS;3;SG	199	yes	yes	no	common (8/259 medial-cap, 0 initial)
invention	inventions	N;PL/V;PRS;3;SG	21	yes	yes	no	common (2/150 medial-cap, 0 initial)
rain	raining	V;V.PTCP;PRS	12	yes	yes	no	common (23/920 medial-cap, 18 initial)
thunder	thunders	N;PL/V;PRS;3;SG	18	yes	yes	no	common (23/318 medial-cap, 18 initial)
brother	brothers	N;PL/V;PRS;3;SG	227	yes	yes	no	common (156/4124 medial-cap, 57 initial)
fiber	fibers	N;PL/V;PRS;3;SG	23	yes	yes	no	common (2/49 medial-cap, 1 initial)
complain	complained	V;PST/V;V.PTCP;PST	51	yes	yes	no	common (2/263 medial-cap, 0 initial)
shorten	shortening	V;V.PTCP;PRS	10	yes	yes	no	common (0/24 medial-cap, 0 initial)
disrupt	disrupted	V;PST/V;V.PTCP;PST	22	yes	yes	no	common (1/23 medial-cap, 0 initial)
wonder	wondering	V;V.PTCP;PRS	84	yes	yes	no	common (8/1720 medial-cap, 10 initial)
cement	cemented	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (19/48 medial-cap, 1 initial)
appeal	appeals	N;PL/V;PRS;3;SG	53	yes	yes	no	common (18/472 medial-cap, 0 initial)
adjoin	adjoining	V;V.PTCP;PRS	33	yes	yes	no	common (0/3 medial-cap, 0 initial)
print	printed	V;PST/V;V.PTCP;PST	60	yes	yes	no	common (15/181 medial-cap, 2 initial)
working	workings	N;PL/V;PRS;3;SG	12	yes	yes	no	common (9/988 medial-cap, 7 initial)
betray	betrayed	V;PST/V;V.PTCP;PST	57	yes	yes	no	common (0/192 medial-cap, 1 initial)
maintain	maintained	V;PST/V;V.PTCP;PST	129	yes	yes	no	common (3/414 medial-cap, 1 initial)
revolt	revolted	V;PST/V;V.PTCP;PST	15	yes	yes	no	common (0/99 medial-cap, 4 initial)
