'bout	b AW t
aberrations	AE b ER EY SH AH n z
abert	AE b ER t
abet	AH b EH t
abetted	AH b EH t IH d
abetting	AH b EH t IH NG
abex	EY b EH k s
abeyance	AH b EY AH n s
abeyta	AA b EY t AH
abhor	AE b h AO r
abhorred	AH b h AO r d
abhorrence	AH b h AO r AH n s
abhorrent	AE b h AO r AH n t
abhors	AH b h AO r z
abiam	EY b IY AH m
abiam's	EY b IY AH m z
abid	EY b IH d
abide	AH b AY d
abided	AH b AY d IH d
abides	AH b AY d z
abiding	AH b AY d IH NG
abidjan	AE b IH JH AA n
abie	AE b IY
abigail	AE b AH g EY l
abila	AA b IY l AH
abilene	AE b IH l IY n
abilities	AH b IH l AH t IY z
ability	AH b IH l AH t IY
abimael	AE b IH m EY l
abimaels	AE b IH m EY l z
abingdon	AE b IH NG d AH n
abington	AE b IH NG t AH n
abio	AA b IY OW
abiola	AA b IY OW l AH
abiola's	AA b IY OW l AH z
abiomed	EY b IY AH m EH d
abiquiu	AH b IH k j UW
abitibi	AE b IH t IY b IY
abitz	AE b IH t s
abject	AE b JH EH k t
abkhazia	AE b k AA z j AH
abkhazia(2)	AE b k AE z j AH
abkhazian	AE b k AA z IY AH n
abkhazian(2)	AE b k AE z IY AH n
abkhazian(3)	AE b k AA z j AH n
abkhazian(4)	AE b k AE z j AH n
abkhazians	AE b k AA z IY AH n z
abkhazians(2)	AE b k AE z IY AH n z
ablate	AH b l EY t
ablation	AH b l EY SH AH n
ablaze	AH b l EY z
able	EY b AH l
able-bodied	EY b AH l b AA d IY d
abled	EY b AH l d
abler	EY b AH l ER
abler(2)	EY b l ER
ables	EY b AH l z
ablest	EY b AH l s t
ablest(2)	EY b l AH s t
abloom	AH b l UW m
ablution	AH b l UW SH AH n
ablutions	AH b l UW SH AH n z
ably	EY b l IY
abnegation	AE b n EH g EY SH AH n
abner	AE b n ER
abney	AE b n IY
abnormal	AE b n AO r m AH l
abnormalities	AE b n AO r m AE l AH t IY z
abnormality	AE b n AO r m AE l AH t IY
abnormally	AE b n AO r m AH l IY
abo	AA b OW
abo's	AA b OW z
aboard	AH b AO r d
abode	AH b OW d
abohalima	AE b AH h AH l IY m AH
abolish	AH b AA l IH SH
abolished	AH b AA l IH SH t
abolishes	AH b AA l IH SH IH z
abolishing	AH b AA l IH SH IH NG
abolition	AE b AH l IH SH AH n
abolitionism	AE b AH l IH SH AH n IH z AH m
abolitionist	AE b AH l IH SH AH n AH s t
abolitionists	AE b AH l IH SH AH n AH s t s
abominable	AH b AA m AH n AH b AH l
abomination	AH b AA m AH n EY SH AH n
abominations	AH b AA m AH n EY SH AH n z
abood	AH b UW d
aboodi	AH b UW d IY
abor	AH b AO r
aboriginal	AE b ER IH JH AH n AH l
aborigine	AE b ER IH JH AH n IY
aborigines	AE b ER IH JH AH n IY z
aborn	AH b AO r n
abort	AH b AO r t
aborted	AH b AO r t IH d
abortifacient	AH b AO r t AH f EY SH AH n t
abortifacients	AH b AO r t AH f EY SH AH n t s
aborting	AH b AO r t IH NG
abortion	AH b AO r SH AH n
abortionist	AH b AO r SH AH n IH s t
abortionists	AH b AO r SH AH n IH s t s
abortions	AH b AO r SH AH n z
abortive	AH b AO r t IH v
aborts	AH b AO r t s
abott	AH b AA t
abou	AH b UW
aboud	AA b UW d
abouhalima	AA b UW h AA l IY m AH
abouhalima's	AA b UW h AA l IY m AH z
abound	AH b AW n d
abounded	AH b AW n d IH d
abounding	AH b AW n d IH NG
abounds	AH b AW n d z
about	AH b AW t
about's	AH b AW t s
above	AH b AH v
above's	AH b AH v z
aboveboard	AH b AH v b AO r d
abplanalp	AE b p l AH n AE l p
abra	AA b r AH
abracadabra	AE b r AH k AH d AE b r AH
abrade	AE b r EY d
abraded	AE b r EY d IH d
abrades	AE b r EY d z
abraham	EY b r AH h AE m
abrahamian	AE b r AH h EY m IY AH n
abrahams	EY b r AH h AE m z
abrahamsen	AE b r AH h AE m s AH n
abrahamson	AH b r AE h AH m s AH n
abram	AH b r AE m
abram's	EY b r AH m z
abramczyk	AA b r AH m CH IH k
abramo	AA b r AA m OW
abramovitz	AH b r AA m AH v IH t s
abramowicz	AH b r AA m AH v IH CH
abramowitz	AH b r AA m AH w IH t s
abrams	EY b r AH m z
abrams's	EY b r AH m z IH z
abramson	EY b r AH m s AH n
abrasion	AH b r EY ZH AH n
abrasions	AH b r EY ZH AH n z
abrasive	AH b r EY s IH v
abrasives	AH b r EY s IH v z
abraxa	AH b r AE k s AH
abraxa's	AH b r AE k s AH z
abraxas	AH b r AE k s AH z
abreast	AH b r EH s t
abrego	AA b r EH g OW
abreu	AH b r UW
abridge	AH b r IH JH
abridged	AH b r IH JH d
abridgement	AH b r IH JH m AH n t
abridges	AH b r IH JH AH z
abridging	AH b r IH JH IH NG
abril	AH b r IH l
abroad	AH b r AO d
abrogate	AE b r AH g EY t
abrogated	AE b r AH g EY t IH d
abrogating	AE b r AH g EY t IH NG
abrogation	AE b r AH g EY SH AH n
abrol	AH b r OW l
abron	AH b r AA n
abrupt	AH b r AH p t
abruptly	AH b r AH p t l IY
abruptness	AH b r AH p t n AH s
abrutyn	EY b r UW t IH n
abruzzese	AA b r UW t s EY z IY
abruzzo	AA b r UW z OW
abs	EY b IY EH s
abs(2)	AE b z
absalom	AE b s AH l AH m
absaraka	AE b s AA r AH k AH
abscam	AE b s k AE m
abscess	AE b s EH s
abscond	AE b s k AA n d
absconded	AE b s k AA n d IH d
absconding	AE b s k AA n d IH NG
absconds	AE b s k AA n d z
absecon	AE b s AH k AO n
absence	AE b s AH n s
absences	AE b s AH n s IH z
absent	AE b s AH n t
absentee	AE b s AH n t IY
absenteeism	AE b s AH n t IY IH z AH m
absentees	AE b s AH n t IY z
absentia	AE b s EH n SH AH
absher	AE b SH ER
abshier	AE b SH IY ER
abshire	AE b SH AY r
absinthe	AE b s IH n TH
abso	AE b s OW
absolom	AE b s AH l AH m
absolut	AE b s AH l UW t
absolut's	AE b s AH l UW t s
absolute	AE b s AH l UW t
absolutely	AE b s AH l UW t l IY
absoluteness	AE b s AH l UW t n AH s
absolutes	AE b s AH l UW t s
absolution	AE b s AH l UW SH AH n
absolutism	AE b s AH l UW t IH z AH m
absolutist	AE b s AH l UW t IH s t
absolve	AH b z AA l v
absolve(2)	AE b z AA l v
absolved	AH b z AA l v d
absolved(2)	AE b z AA l v d
absolves	AH b z AA l v z
absolves(2)	AE b z AA l v z
absolving	AH b z AA l v IH NG
absolving(2)	AE b z AA l v IH NG
absorb	AH b z AO r b
absorbed	AH b z AO r b d
absorbency	AH b z AO r b AH n s IY
absorbent	AH b z AO r b AH n t
absorber	AH b z AO r b ER
absorbers	AH b z AO r b ER z
absorbing	AH b z AO r b IH NG
absorbs	AH b z AO r b z
absorption	AH b z AO r p SH AH n
absorption(2)	AH b s AO r p SH AH n
abstain	AH b s t EY n
abstain(2)	AE b s t EY n
abstained	AH b s t EY n d
abstained(2)	AE b s t EY n d
abstaining	AH b s t EY n IH NG
abstaining(2)	AE b s t EY n IH NG
abstention	AH b s t EH n CH AH n
abstention(2)	AE b s t EH n CH AH n
abstentions	AH b s t EH n CH AH n z
abstentions(2)	AE b s t EH n CH AH n z
abstinence	AE b s t AH n AH n s
abstinent	AE b s t AH n AH n t
abston	AE b s t AH n
abstract	AE b s t r AE k t
abstract(2)	AE b s t r AE k t
abstracted	AE b s t r AE k t IH d
abstraction	AE b s t r AE k SH AH n
abstractions	AE b s t r AE k SH AH n z
abstracts	AE b s t r AE k t s
abstruse	AH b s t r UW s
absurd	AH b s ER d
absurdist	AH b s ER d IH s t
absurdities	AH b s ER d AH t IY z
absurdity	AH b s ER d AH t IY
absurdly	AH b s ER d l IY
abt	AE b t
abt(2)	EY b IY t IY
abts	AE b t s
abts(2)	EY b IY t IY z
abts(3)	EY b IY t IY EH s
abu	AE b UW
abudrahm	AH b AH d r AH m
abuellah	AH b w EH l AH
abuellah's	AH b w EH l AH z
abuladze	AE b j UW l AE d z IY
abundance	AH b AH n d AH n s
abundant	AH b AH n d AH n t
abundantly	AH b AH n d AH n t l IY
aburto	AH b UH r t OW
aburto's	AH b UH r t OW z
abuse	AH b j UW s
abuse(2)	AH b j UW z
abused	AH b j UW z d
abuser	AH b j UW z ER
abusers	AH b j UW z ER z
abuses	AH b j UW s IH z
abuses(2)	AH b j UW z IH z
abusing	AH b j UW z IH NG
abusive	AH b j UW s IH v
abut	AH b AH t
abuts	AH b AH t s
abutted	AH b AH t IH d
abutting	AH b AH t IH NG
abuzz	AH b AH z
abysmal	AH b IH z m AH l
abysmally	AH b IH z m AH l IY
abyss	AH b IH s
abyssinia	AE b s IH n IY AH
abyssinian	AE b s IH n IY AH n
abzug	AE b z AH g
abzug(2)	AE b z UH g
ac	EY s IY
aca	AE k AH
acacia	AH k EY SH AH
academe	AE k AH d IY m
academia	AE k AH d IY m IY AH
academic	AE k AH d EH m IH k
academically	AE k AH d EH m IH k l IY
academician	AE k AH d AH m IH SH AH n
academicians	AE k AH d AH m IH SH AH n z
academicians(2)	AH k AE d AH m IH SH AH n z
academics	AE k AH d EH m IH k s
academies	AH k AE d AH m IY z
academy	AH k AE d AH m IY
academy's	AH k AE d AH m IY z
acadia	AH k EY d IY AH
acaena	AH s IY n AH
acampo	AH k AA m p OW
acampora	AH k AE m p ER AH
acampsia	AH k AE m p s j AH
acantha	AA k AA n DH AH
acapulco	AE k AH p UH l k OW
acary	AE k ER IY
acc	AY s IY s IY
accardi	AA k AA r d IY
accardo	AA k AA r d OW
accede	AE k s IY d
acceded	AE k s IY d IH d
accedes	AE k s IY d z
acceding	AE k s IY d IH NG
accel	AH k s EH l
accelerant	AE k s EH l ER AH n t
accelerants	AE k s EH l ER AH n t s
accelerate	AE k s EH l ER EY t
accelerated	AE k s EH l ER EY t IH d
accelerates	AE k s EH l ER EY t s
accelerating	AE k s EH l ER EY t IH NG
acceleration	AE k s EH l ER EY SH AH n
accelerator	AE k s EH l ER EY t ER
accelerators	AE k s EH l ER EY t ER z
accelerometer	AE k s EH l ER AA m AH t ER
accelerometers	AE k s EH l ER AA m AH t ER z
accent	AH k s EH n t
accent(2)	AE k s EH n t
accented	AE k s EH n t IH d
accenting	AE k s EH n t IH NG
accents	AE k s EH n t s
accentuate	AE k s EH n CH UW EY t
accentuated	AE k s EH n CH UW EY t IH d
accentuates	AE k s EH n CH UW EY t s
accentuating	AE k s EH n CH UW EY t IH NG
accenture	AE k s EH n CH ER
accept	AE k s EH p t
accept(2)	AH k s EH p t
acceptability	AH k s EH p t AH b IH l AH t IY
acceptable	AE k s EH p t AH b AH l
acceptable(2)	AH k s EH p t AH b AH l
acceptably	AE k s EH p t AH b l IY
acceptably(2)	AH k s EH p t AH b l IY
acceptance	AE k s EH p t AH n s
acceptance(2)	AH k s EH p t AH n s
acceptances	AE k s EH p t AH n s IH z
accepted	AE k s EH p t IH d
accepted(2)	AH k s EH p t IH d
accepting	AE k s EH p t IH NG
accepting(2)	AH k s EH p t IH NG
accepts	AE k s EH p t s
access	AE k s EH s
accessed	AE k s EH s t
accessibility	AE k s EH s AH b IH l IH t IY
accessible	AE k s EH s AH b AH l
accessing	AE k s EH s IH NG
accession	AH k s EH SH AH n
accessories	AE k s EH s ER IY z
accessorize	AE k s EH s ER AY z
accessorized	AE k s EH s ER AY z d
accessory	AE k s EH s ER IY
accetta	AA CH EH t AH
accident	AE k s AH d AH n t
accident's	AE k s AH d AH n t s
accidental	AE k s AH d EH n t AH l
accidental(2)	AE k s AH d EH n AH l
accidentally	AE k s AH d EH n t AH l IY
accidentally(2)	AE k s AH d EH n AH l IY
accidently	AE k s AH d AH n t l IY
accidents	AE k s AH d AH n t s
accion	AE CH IY AH n
accival	AE s IH v AA l
acclaim	AH k l EY m
acclaim's	AH k l EY m z
acclaimed	AH k l EY m d
acclaiming	AH k l EY m IH NG
acclaims	AH k l EY m z
acclamation	AE k l AH m EY SH AH n
acclimate	AE k l AH m EY t
acclimated	AE k l AH m EY t IH d
acclimation	AE k l AH m EY SH AH n
acco	AE k OW
accokeek	AE k OW k IY k
accola	AA k OW l AH
accolade	AE k AH l EY d
accolades	AE k AH l EY d z
accomando	AA k OW m AA n d OW
accommodate	AH k AA m AH d EY t
accommodated	AH k AA m AH d EY t IH d
accommodates	AH k AA m AH d EY t s
accommodating	AH k AA m AH d EY t IH NG
accommodation	AH k AA m AH d EY SH AH n
accommodations	AH k AA m AH d EY SH AH n z
accommodative	AH k AA m AH d EY t IH v
accompanied	AH k AH m p AH n IY d
accompanies	AH k AH m p AH n IY z
accompaniment	AH k AH m p n IH m AH n t
accompaniment(2)	AH k AH m p n IY m AH n t
accompaniments	AH k AH m p n IH m AH n t s
accompaniments(2)	AH k AH m p n IY m AH n t s
accompanist	AH k AH m p AH n AH s t
accompany	AH k AH m p AH n IY
accompanying	AH k AH m p AH n IY IH NG
accompli	AA k AA m p l IY
accompli(2)	AH k AA m p l IY
accomplice	AH k AA m p l AH s
accomplices	AH k AA m p l AH s AH z
accomplish	AH k AA m p l IH SH
accomplished	AH k AA m p l IH SH t
accomplishes	AH k AA m p l IH SH IH z
accomplishing	AH k AA m p l IH SH IH NG
accomplishment	AH k AA m p l IH SH m AH n t
accomplishments	AH k AA m p l IH SH m AH n t s
accor	AE k AO r
accor's	AE k ER z
accord	AH k AO r d
accord's	AH k AO r d z
accordance	AH k AO r d AH n s
accorded	AH k AO r d IH d
according	AH k AO r d IH NG
accordingly	AH k AO r d IH NG l IY
accordion	AH k AO r d IY AH n
accordions	AH k AO r d IY AH n z
accords	AH k AO r d z
accost	AH k AO s t
accosted	AH k AA s t IH d
accosting	AH k AA s t IH NG
account	AH k AW n t
account's	AH k AW n t s
accountability	AH k AW n t AH b IH l IH t IY
accountability(2)	AH k AW n AH b IH l IH t IY
accountable	AH k AW n t AH b AH l
accountable(2)	AH k AW n AH b AH l
accountancy	AH k AW n t AH n s IY
accountant	AH k AW n t AH n t
accountant's	AH k AW n t AH n t s
accountants	AH k AW n t AH n t s
accountants'	AH k AW n t AH n t s
accounted	AH k AW n t IH d
accounted(2)	AH k AW n AH d
accountemp	AH k AW n t EH m p
accountemps	AH k AW n t EH m p s
accounting	AH k AW n t IH NG
accounting(2)	AH k AW n IH NG
accounts	AH k AW n t s
accouterment	AH k UW t ER m AH n t
accouterments	AH k UW t ER m AH n t s
accoutrement	AH k UW t ER m AH n t
accoutrements	AH k UW t ER m AH n t s
accra	AA k r AA
accredit	AH k r EH d AH t
accreditation	AH k r EH d AH t EY SH AH n
accreditations	AH k r EH d AH t EY SH AH n z
accredited	AH k r EH d IH t IH d
accrediting	AH k r EH d AH t IH NG
accreted	AH k r IY t IH d
accretion	AH k r IY SH AH n
accrual	AH k r UW AH l
accruals	AH k r UW AH l z
accrue	AH k r UW
accrued	AH k r UW d
accrues	AH k r UW z
accruing	AH k r UW IH NG
accu	AE k j UW
accuhealth	AE k j UW h EH l TH
accumulate	AH k j UW m j AH l EY t
accumulated	AH k j UW m j AH l EY t IH d
accumulates	AH k j UW m j AH l EY t s
accumulating	AH k j UW m j AH l EY t IH NG
accumulation	AH k j UW m j AH l EY SH AH n
accumulations	AH k j UW m j AH l EY SH AH n z
accumulative	AH k j UW m j AH l EY t IH v
accumulatively	AH k j UW m j AH l EY t IH v l IY
accumulatively(2)	AH k j UW m j AH l AH t IH v l IY
accumulator	AH k j UW m j AH l EY t ER
accumulators	AH k j UW m j AH l EY t ER z
accuracies	AE k j ER AH s IY z
accuracy	AE k j ER AH s IY
accurate	AE k j ER AH t
accurately	AE k j ER AH t l IY
accuray	AE k j ER EY
accuray's	AE k j ER EY z
accuride	AE k j ER AY d
accursed	AE k ER s t
accurso	AA k UH r s OW
accusation	AE k j AH z EY SH AH n
accusation(2)	AE k j UW z EY SH AH n
accusations	AE k j AH z EY SH AH n z
accusations(2)	AE k j UW z EY SH AH n z
accusative	AH k j UW z AH t IH v
accusatory	AH k j UW z AH t AO r IY
accuse	AH k j UW z
accused	AH k j UW z d
accuser	AH k j UW z ER
accusers	AH k j UW z ER z
accuses	AH k j UW z IH z
accusing	AH k j UW z IH NG
accusingly	AH k j UW z IH NG l IY
accustom	AH k AH s t AH m
accustomed	AH k AH s t AH m d
accutane	AE k j UW t EY n
ace	EY s
acecomm	EY s k AA m
aced	EY s t
acer	EY s ER
acerbic	AH s EH r b IH k
acero	AH s EH r OW
acero(2)	AH s j EH r OW
acero(3)	AH TH EH r OW
acerra	AH s EH r AH
aces	EY s IH z
acetaminophen	AH s IY t AH m IH n AH f AH n
acetate	AE s AH t EY t
acetic	AH s EH t IH k
acetic(2)	AH s IY t IH k
aceto	AA s EH t OW
acetochlor	AA s EH t OW k l AO r
acetone	AE s AH t OW n
acetosyringone	AH s EH t OW s IH r IH NG g AO n
acetylcholine	AH s EH t AH l k OW l IY n
acetylcholine(2)	AH s IY t AH l k OW l IY n
acetylene	AH s EH t AH l IY n
acevedo	AE s AH v EY d OW
aceves	AA s EY v EH s
acey	EY s IY
ach	EY s IY EY CH
achaean	AH CH IY AH n
achatz	AE k AH t s
ache	EY k
achebe	AA CH EY b IY
ached	EY k t
achee	AH CH IY
achenbach	AE k IH n b AA k
achenbaum	AE k AH n b AW m
achene	AH k IY n
achenes	AH k IY n z
aches	EY k s
acheson	AE CH AH s AH n
acheson's	AE CH AH s AH n z
achesons	AE CH AH s AH n z
achey	AE CH IY
achieva	AH CH IY v AH
achievable	AH CH IY v AH b AH l
achieve	AH CH IY v
achieved	AH CH IY v d
achievement	AH CH IY v m AH n t
achievements	AH CH IY v m AH n t s
achiever	AH CH IY v ER
achievers	AH CH IY v ER z
achieves	AH CH IY v z
achieving	AH CH IY v IH NG
achill	AE k IH l
achill's	AE k IH l z
achille	AH k IH l IY
achilles	AH k IH l IY z
achilles'	AH k IH l IY z
aching	EY k IH NG
achingly	EY k IH NG l IY
achmed	AA h m EH d
achoa	AH CH OW AH
achoa's	AH CH OW AH z
achoo	AA CH UW
achor	EY k ER
achord	AE k AO r d
achorn	AE k ER n
achtenberg	AE k t EH n b ER g
achterberg	AE k t ER b ER g
achy	EY k IY
acid	AE s AH d
acidic	AH s IH d IH k
acidification	AH s IH d AH f AH k EY SH AH n
acidified	AH s IH d AH f AY d
acidifies	AH s IH d AH f AY z
acidify	AH s IH d AH f AY
acidity	AH s IH d AH t IY
acidly	AE s AH d l IY
acidosis	AE s AH d OW s AH s
acids	AE s AH d z
aciduria	AE s AH d UH r IY AH
acierno	AA s IH r n OW
ack	AE k
acker	AE k ER
acker's	AE k ER z
ackerley	AE k ER l IY
ackerly	AE k ER l IY
ackerman	AE k ER m AH n
ackermann	AE k ER m AH n
ackermanville	AE k ER m AH n v IH l
ackerson	AE k ER s AH n
ackert	AE k ER t
ackhouse	AE k h AW s
ackland	AE k l AH n d
ackles	AE k AH l z
ackley	AE k l IY
acklin	AE k l IH n
ackman	AE k m AH n
acknowledge	AE k n AA l IH JH
acknowledgeable	AE k n AA l IH JH AH b AH l
acknowledged	AE k n AA l IH JH d
acknowledgement	AE k n AA l IH JH m AH n t
acknowledgements	AE k n AA l IH JH m AH n t s
acknowledges	AE k n AA l IH JH IH z
acknowledging	AE k n AA l IH JH IH NG
acknowledgment	AE k n AA l IH JH m AH n t
acknowledgments	AE k n AA l IH JH m AH n t s
ackroyd	AE k r OY d
ackroyd's	AE k r OY d z
acm	EY s IY EH m
acmat	AE k m AE t
acmat's	AE k m AE t s
acme	AE k m IY
acme's	AE k m IY z
acne	AE k n IY
acocella	AA k OW CH EH l AH
acoff	AE k AO f
acog	AH k AO g
acolyte	AE k AH l AY t
acolytes	AE k AH l AY t s
acomb	EY k AH m
acomb(2)	j AE k AH m
acord	AH k AO r d
acordia	AH k AO r d IY AH
acorn	EY k AO r n
acorn's	EY k AO r n z
acorns	EY k AO r n z
acosta	AH k AO s t AH
acott	EY k AO t
acoustic	AH k UW s t IH k
acoustical	AH k UW s t IH k AH l
acoustically	AH k UW s t IH k l IY
acoustics	AH k UW s t IH k s
acquaint	AH k w EY n t
acquaintance	AH k w EY n t AH n s
acquaintances	AH k w EY n t AH n s IH z
acquaintanceship	AH k w EY n t AH n s SH IH p
acquainted	AH k w EY n t IH d
acquainted(2)	AH k w EY n IH d
acquaviva	AA k w AA v IY v AH
acquiesce	AE k w IY EH s
acquiesced	AE k w IY EH s t
acquiescence	AE k w IY EH s AH n s
acquiescent	AE k w IY EH s AH n t
acquiescing	AE k w IY EH s IH NG
acquire	AH k w AY ER
acquired	AH k w AY ER d
acquirer	AH k w AY ER ER
acquirer's	AH k w AY ER ER z
acquirers	AH k w AY ER ER z
acquires	AH k w AY ER z
acquiring	AH k w AY r IH NG
acquiring(2)	AH k w AY ER IH NG
acquisition	AE k w AH z IH SH AH n
acquisition's	AE k w AH z IH SH AH n z
acquisitions	AE k w AH z IH SH AH n z
acquisitive	AH k w IH z AH t IH v
acquit	AH k w IH t
acquitaine	AE k w IH t EY n
acquits	AH k w IH t s
acquittal	AH k w IH t AH l
acquittals	AH k w IH t AH l z
acquitted	AH k w IH t IH d
acquitting	AH k w IH t IH NG
acre	EY k ER
acreage	EY k ER IH JH
acreage(2)	EY k r AH JH
acree	AH k r IY
acres	EY k ER z
acrey	AE k r IY
acri	AA k r IY
acrid	AE k r IH d
acrimonious	AE k r AH m OW n IY AH s
acrimony	AE k r IH m OW n IY
acro	AE k r OW
acrobat	AE k r AH b AE t
acrobatic	AE k r AH b AE t IH k
acrobatics	AE k r AH b AE t IH k s
acrobats	AE k r AH b AE t s
acrolein	AE k r OW l IY n
acronym	AE k r AH n IH m
acronyms	AE k r AH n IH m z
acropolis	AH k r AA p AH l AH s
across	AH k r AO s
acrylic	AH k r IH l IH k
acrylics	AH k r IH l IH k s
act	AE k t
act's	AE k t s
acta	AE k t AA
actava	AE k t AA v AH
actava's	AE k t AA v AH z
actavas	AE k t AA v AH z
acted	AE k t IH d
actel	AE k t EH l
actigall	AE k t IH g AO l
actin	AE k t AH n
acting	AE k t IH NG
actinide	AE k t IH n AY d
actinidia	AE k t IH n IH d IY AH
actinomycosis	AE k t IH n OW m AY k OW s IH s
action	AE k SH AH n
action's	AE k SH AH n z
actionable	AE k SH AH n AH b AH l
actions	AE k SH AH n z
activase	AE k t IH v EY z
activate	AE k t AH v EY t
activated	AE k t AH v EY t IH d
activates	AE k t AH v EY t s
